cas_number,ingredient_name,synonyms,category_4_limit_percent,reason,rule_year,source_pdf,smiles
4756-19-8;103-95-7,Cyclamen alcohol,"3-(4-Isopropylphenyl)-2-methylpropan-1-ol 3-(p-Isopropyl)phenyl-2-methyl-1-propanol Benzenepropanol, .β.-methyl-4-(1-methylethyl)-",,Skin Sensitization,1980.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Prohibition-Specification/Cyclamen alcohol.pdf,CC(CO)Cc1ccc(cc1)C(C)C
26651-96-7;72968-25-3;1117-41-5,Pseudo methylionones,"2,6-Dimethyldodeca-2,6,8-trien-10-one 7,11-Dimethyl-4,6,10-dodecatrien-3-one 7,11-Dimethyldodeca-4,6,10-trien-3-one 4,6,10-Dodecatrien-3-one, 7,11-dimethyl- 3,6,10-Trimethylundeca-3,5,9-trien-2-one",,Skin Sensitization,2009.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Prohibition-Specification/Pseudo methylionones.pdf,CCC(=O)\C=C\C=C(C)\CCC=C(C)C
141-10-6,Pseudoionone,"Citrylideneacetone 2,6-Dimethylundeca-2,6,8-trien-10-one 6,10-Dimethyl-3,5,9-undecatrien-2-one 3,5,9-Undecatrien-2-one, 6,10-dimethyl-",,Skin Sensitization,2006.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Prohibition-Specification/Pseudoionone.pdf,CC(C)=CCC\C(C)=C\C=C\C(C)=O
8001-88-5;68917-50-0;84012-15-7;85251-66-7;85940-29-0;91745-85-6,Birch wood pyrolysate,"Prohibition of the crude material: Birch tar oil, crude Specification for the distillates: Birch tar oil dephenolated Birch tar oil rectified Essence bouleau dephenolisée Essence bouleau (Goudron) rect.",,,2013.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Prohibition-Specification/Birch wood pyrolysate.pdf,
8007-75-8;89957-91-5,Bergamot oil expressed,Not applicable.,0.4,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Bergamot oil expressed.pdf,
8008-56-8;84929-31-7,Lemon oil cold pressed,Not applicable.,2.0,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Lemon oil cold pressed.pdf,
90131-43-4;8016-84-0;91722-29-1;91770-75-1;1081-34-1,Tagetes oil and absolute,"Prohibition of Tagetes erecta: Tagetes erecta L. Restriction and Specification of Tagetes patula and Tagetes minuta: Tagetes absolute (Tagetes patula L.) Tagetes patula absolute Tagetes patula, ext. Tagetes minuta absolute Tagetes oil",0.01,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Tagetes oil and absolute.pdf,s1cccc1c2sc(cc2)c3sccc3
8015-64-3;84775-41-7,Angelica root oil,Angelica archangelica oil Angelica archangelica root oil Angelica root oil (Angelica archangelica L.),0.8,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Angelica root oil.pdf,
8008-26-2;90063-52-8,Lime oil expressed,Not applicable.,0.7,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Lime oil expressed.pdf,
8014-29-7;84929-47-5,Rue oil,Not applicable.,0.15,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Rue oil.pdf,
8014-13-9;84775-51-9,Cumin oil,"Cumin seed oil Cuminum cyminum (Cumin) seed oil Cuminum cyminum L. Cuminum cyminum oil Oils, cumin (Cuminum cyminum)",0.4,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Cumin oil.pdf,
,Citrus oils and other furocoumarins containing essential oils,Not applicable.,0.0015,Phototoxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (phototoxicity)/Citrus oils and other furocoumarins containing essential oils.pdf,
